,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': None, 'name': 'Kitco NEWS'}",http://www.facebook.com/kitconews,Gold price modestly up as marketplace still edgy - Kitco NEWS,"<ol><li>Gold price modestly up as marketplace still edgy  Kitco NEWS
</li><li>Gold Price Rise Stalled as the US Dollar and Bond Yields Clash  DailyFX
</li><li>Price of Gold Fundamental Daily Forecast - Patient Traders May Be Waiting for Powell's Speech at J…",https://www.kitco.com/news/2021-08-20/Gold-price-modestly-up-as-marketplace-still-edgy.html,https://www.kitco.com/news/2021-08-20/images/goldchart_0820_am.png,2021-08-20T11:47:00Z,"Editor's Note: With so much market volatility, stay on top of daily news! Get caught up in minutes with our speedy summary of today's must-read news and expert opinions. Sign up here! 
(Kitco News) … [+2965 chars]"
11,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,From Olympics to MLB: David Robertson reaches deal with Rays - Reuters,The Tampa Bay Rays agreed to terms on a contract with reliever David Robertson on Monday.,https://www.reuters.com/lifestyle/sports/olympics-mlb-david-robertson-reaches-deal-with-rays-2021-08-17/,https://www.reuters.com/resizer/H-KHCjlLWEW8bkRXB4R8n8ZAYdQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VVFT6CPVJJIA7GMYPSHGDTHEYQ.jpg,2021-08-17T00:58:00Z,"Tokyo 2020 Olympics - Baseball - Men - Round 2 Repechage - Dominican Republic v United States - Yokohama Baseball Stadium, Yokohama, Japan - August 4, 2021. David Robertson of the United States in ac… [+950 chars]"
12,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,Coffee SPAC deal relies on caffeinated growth - Reuters,"Tim Hortons China is preparing a strong brew. The division of the Canadian coffee and donuts chain, a joint venture between Restaurant Brands International <a href=""https://www.reuters.com/companies/QSR.TO"" target=""_blank"">(QSR.TO)</a> and private equity firm…",https://www.reuters.com/breakingviews/coffee-spac-deal-relies-caffeinated-growth-2021-08-17/,https://www.reuters.com/resizer/0OHGzqSECPdL3UzUk1AQkVb2EeA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/G7WD32OMZRMSFFQB4ECHZGT6GE.jpg,2021-08-17T08:02:00Z,"A barista makes coffee at a café in Beijing, China, May 6, 2017. REUTERS/Thomas PeterHONG KONG, Aug 17 (Reuters Breakingviews) - Tim Hortons China is preparing a strong brew. The division of the Cana… [+2038 chars]"
13,"{'id': None, 'name': 'The Guardian'}",Nick Buckley,"Batman & Robin: time to revisit Joel Schumacher’s maligned, silly and endlessly quotable film",The widely detested 1997 adaptation and its various bizarre spin-offs are worth a reappraisal in this era in which nothing makes senseSerious comic book fans and discerning cinephiles consider director Joel Schumacher’s Batman & Robin from 1997 one of the wor…,https://amp.theguardian.com/culture/2021/aug/18/batman-robin-time-to-revisit-joel-schumachers-maligned-silly-and-endlessly-quotable-film,https://i.guim.co.uk/img/media/627846918c3f297fc2d0d331c511dab4fda5dfcb/196_224_3308_1984/master/3308.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=fa3c12d83dfae0835377d165af271cc8,2021-08-17T17:30:31Z,Serious comic book fans and discerning cinephiles consider director Joel Schumachers Batman &amp; Robin from 1997 one of the worst films ever made but they are wrong. Its easily more entertaining tha… [+4313 chars]
14,"{'id': 'reuters', 'name': 'Reuters'}",Amal S,CANADA STOCKS-TSX set to snap four-week winning streak as oil tumbles - Reuters,"A slide in Canada's main stock index halted on Friday but it was still on course to snap a four-week winning streak, pulled down by energy stocks as oil prices tumbled on fears of slowing global growth and rising COVID-19 cases.",https://www.reuters.com/article/canada-stocks-idUSL4N2PR307,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-20T14:25:00Z,"(Adds analyst comment; updates prices)
Aug 20 (Reuters) - A slide in Canadas main stock index halted on Friday but it was still on course to snap a four-week winning streak, pulled down by energy st… [+1651 chars]"
15,"{'id': 'reuters', 'name': 'Reuters'}",Eileen Soreng,PRECIOUS-Gold inches lower as firm dollar overshadows safe-haven appeal - Reuters,"* Palladium extends losses after hitting near 1-month low on Monday (Adds comments, updates prices)",https://www.reuters.com/article/global-precious-idUSL1N2PO02E,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-17T04:23:00Z,"* U.S. monthly retail sales data due at 1230 GMT
* Palladium extends losses after hitting near 1-month low on Monday (Adds comments, updates prices)
Aug 17 (Reuters) - Gold prices inched lower on T… [+1728 chars]"
16,"{'id': 'reuters', 'name': 'Reuters'}",Jody Godoy,"Week Ahead in Securities: Aug. 23, 2021 - Reuters","Here are some upcoming events of interest to the securities law community. Unless otherwise noted, all times are local.",https://www.reuters.com/legal/litigation/week-ahead-securities-aug-23-2021-2021-08-20/,https://www.reuters.com/resizer/SeYg_x7lA_ANyYxKtn1YrYSD76M=/978x512/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TLPXA2WRQNL5JJTMFGVIZFWEGY.jpg,2021-08-20T18:16:00Z,"<ul><li>
Law firms</li><li>
Related documents</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are improving this feature as we… [+4367 chars]"
17,"{'id': 'reuters', 'name': 'Reuters'}","Nandita Bose,David Brunnstrom",Harris faces task of convincing Asia of U.S. reliability after Afghan chaos - Reuters,"Vice President Kamala Harris, in a visit to Singapore and Vietnam next week that aims to counter China's growing influence, will have to contend with a new problem: the collapse of Afghanistan, which has left allies questioning the credibility of U.S. foreign…",https://www.reuters.com/world/us/harris-faces-task-convincing-asia-us-reliability-after-afghan-chaos-2021-08-20/,https://www.reuters.com/resizer/iYEsz0n-d-eQStKN0RnAnlshALM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/YIHLA2ZS6VO7LJR7HBJ2DBR7LY.jpg,2021-08-20T05:04:00Z,"U.S. Vice President Kamala Harris discusses the U.S. Senate's passage of the $1 trillion bipartisan infrastructure bill, during a meeting in the State Dining Room at the White House in Washington, U.… [+4542 chars]"
18,"{'id': None, 'name': 'MarketWatch'}",Weston Blasi,": Polish Olympian auctions her silver medal for $125,000 to help pay for a baby’s heart surgery",The winning bidder told Maria Andrejczyk that she can even keep her medal.,https://www.marketwatch.com/story/polish-olympian-auctions-her-silver-medal-for-125-000-to-help-pay-for-a-babys-heart-surgery-11629399472,https://images.mktw.net/im-388437/social,2021-08-19T18:57:00Z,"The Tokyo Olympics have concluded and many Olympians who won medals in Tokyo will cherish those medals for the rest of their lives.This includes Polish Javelin thrower Maria Andrejczyk, 25, who attem… [+1280 chars]"
19,"{'id': 'reuters', 'name': 'Reuters'}",Sruthi Shankar,CANADA STOCKS-Canadian stocks on longest losing streak in over 17 months - Reuters,"Canadian stocks sank to a three-week low on Thursday, with commodity-linked sectors leading the losses, as investor fears of a slowdown in global growth dented oil and metal prices.",https://www.reuters.com/article/canada-stocks-idUSL4N2PQ38Q,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-19T14:34:00Z,"(Corrects syntax in paragraph 2)
Aug 19 (Reuters) - Canadian stocks sank to a three-week low on Thursday, with commodity-linked sectors leading the losses, as investor fears of a slowdown in global … [+1981 chars]"
